"","id","idgroup","sessionid","subject","period","condition","type","grouptype","contribution_id","roundprofit_id","sum_contribution_g","avg_contribution_g","avg_contr_g_others","strategic_ability","bin_strategic_ability","group_ability_cont","group_ability_cat","group_ability_bin","group_subjectid"
"77",55,"23","160321_1553",7,1,"STRAT","Freerider","grouptype_is_mixed",20,19.8,33,11,6.5,24.4444444444444,0,22.9808121374386,"LOW","LOW_STRAT",3
"78",112,"33","160323_1352",16,1,"PREF","Freerider","Freerider",10,16,10,3.33333333333333,0,25.2901484480432,0,26.6276803118908,"LOW","LOW_STRAT",3
"79",182,"61","160329_1355",14,1,"RAND","CondCoop","grouptype_is_mixed",20,24,40,13.3333333333333,10,30.5842676146204,0,48.8171846990551,"MEDIUM","HIGH_STRAT",3
"80",65,"22","160321_1553",17,1,"STRAT","Others","grouptype_is_mixed",10,22,20,6.66666666666667,5,39.8661311914324,0,30.2275769745649,"LOW","LOW_STRAT",3
"81",24,"1","160321_1143",24,1,"STRAT","CondCoop","grouptype_is_mixed",5,32.4,29,9.66666666666667,12,38.2577251808021,0,63.2719701950471,"HIGH","HIGH_STRAT",2
"82",134,"48","160323_1557",14,1,"PREF","Others","Others",20,30.6,51,17,15.5,35.5555555555556,0,41.003143364767,"MEDIUM","LOW_STRAT",2
"83",144,"43","160323_1557",24,1,"PREF","Freerider","Freerider",0,23.6,6,2,3,13.3333333333333,0,23.0750307503075,"LOW","LOW_STRAT",3
"84",143,"48","160323_1557",23,1,"PREF","Others","Others",20,30.6,51,17,15.5,40,0,41.003143364767,"MEDIUM","LOW_STRAT",3
"85",25,"14","160321_1405",1,1,"STRAT","Others","grouptype_is_mixed",2,28.2,17,5.66666666666667,7.5,39.2090395480226,0,35.1964846202134,"LOW","LOW_STRAT",3
"86",153,"51","160324_1558",9,1,"RAND","CondCoop","grouptype_is_mixed",10,28,30,10,10,53.7098672045722,1,34.9918753852188,"LOW","LOW_STRAT",3
"87",165,"55","160324_1558",21,1,"RAND","Freerider","grouptype_is_mixed",10,23.2,22,7.33333333333333,6,43.2879475542108,0,36.097943631983,"LOW","LOW_STRAT",2
"88",129,"42","160323_1557",9,1,"PREF","Freerider","Freerider",5,33,30,10,12.5,63.7720377203772,1,53.9702063687304,"HIGH","HIGH_STRAT",3
"89",161,"54","160324_1558",17,1,"RAND","CondCoop","grouptype_is_mixed",10,22,20,6.66666666666667,5,31.5784165405951,0,41.6271642292822,"MEDIUM","LOW_STRAT",3
"90",113,"38","160323_1352",17,1,"PREF","Others","Others",20,18,30,10,5,60.6567701304543,1,48.349077822762,"MEDIUM","HIGH_STRAT",3
