"","id","type","condition","condition_contr_table","preferred_contribution","avg_group_contr"
"489","84","Freerider","PREF","cond3",0,20
"490","101","Others","PREF","cond3",20,20
"491","36","Freerider","STRAT","cond3",0,20
"492","98","Freerider","PREF","cond3",0,20
"493","86","CondCoop","PREF","cond3",20,20
"494","82","CondCoop","PREF","cond3",20,20
"495","78","CondCoop","PREF","cond3",10,20
"496","155","CondCoop","RAND","cond3",0,20
"497","190","CondCoop","RAND","cond3",10,20
"498","74","CondCoop","PREF","cond3",0,20
"499","90","CondCoop","PREF","cond3",20,20
"500","140","CondCoop","PREF","cond3",10,20
"501","102","CondCoop","PREF","cond3",25,20
"502","189","CondCoop","RAND","cond3",19,20
"503","93","CondCoop","PREF","cond3",25,20
"504","75","CondCoop","PREF","cond3",10,20
"505","81","CondCoop","PREF","cond3",0,20
"506","73","CondCoop","PREF","cond3",0,20
"507","191","CondCoop","RAND","cond3",20,20
"508","123","CondCoop","PREF","cond3",10,20
"509","77","CondCoop","PREF","cond3",20,20
"510","139","CondCoop","PREF","cond3",20,20
"511","109","CondCoop","PREF","cond3",40,20
"512","28","CondCoop","STRAT","cond3",5,20
"513","118","CondCoop","PREF","cond3",5,20
"514","131","CondCoop","PREF","cond3",10,20
"515","96","CondCoop","PREF","cond3",0,20
"516","110","CondCoop","PREF","cond3",120,20
"517","130","CondCoop","PREF","cond3",30,20
"518","188","CondCoop","RAND","cond3",10,20
"519","127","CondCoop","PREF","cond3",10,20
"520","99","CondCoop","PREF","cond3",0,20
"521","192","CondCoop","RAND","cond3",20,20
"522","154","CondCoop","RAND","cond3",0,20
"523","128","CondCoop","PREF","cond3",20,20
"524","27","CondCoop","STRAT","cond3",5,20
"525","136","CondCoop","PREF","cond3",80,20
"526","126","CondCoop","PREF","cond3",0,20
"527","46","CondCoop","STRAT","cond3",0,20
"528","156","CondCoop","RAND","cond3",60,20
"529","135","CondCoop","PREF","cond3",10,20
"530","132","CondCoop","PREF","cond3",0,20
"531","83","CondCoop","PREF","cond3",0,20
"532","115","CondCoop","PREF","cond3",30,20
"533","133","CondCoop","PREF","cond3",0,20
"534","187","CondCoop","RAND","cond3",5,20
"535","59","CondCoop","STRAT","cond3",20,20
"536","141","Freerider","PREF","cond3",0,20
